Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,1 18,,,1 19,,,1 20,,,1 21,,,1 22,,,1 23,,,1 24,,,1 25,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
47,0,1611.24,-59.8104,23.0119,459.125,386.666,24.0795,824.673,1020.45,32.0572,1621.7,429.568,28.6833,1139,443.531,26.1519,2226.87,738.429,30.2571,2274.89,-56.9844,34.5706,546.087,-353.247,28.4027,1896.22,-658.348,33.1779,1563.65,1126.74,26.3452,1124.58,-51.0904,23.3333,1235.36,-721.256,21.3975,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,1611.17,-59.8973,22.873,459.157,386.635,24.0733,824.709,1020.41,32.1348,1621.7,429.565,28.6844,1139.02,443.549,26.176,2226.9,738.373,30.3295,2274.65,-57.1075,34.3871,546.097,-353.295,28.3088,1896.39,-658.444,33.6198,1563.65,1126.73,26.3405,1124.57,-51.0989,23.3496,1235.51,-721.097,21.3883,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,1611.19,-59.9034,22.883,459.214,386.622,24.088,824.739,1020.41,32.1217,1621.68,429.574,28.6738,1138.98,443.563,26.1273,2226.88,738.396,30.3032,2274.65,-57.0851,34.3381,546.318,-353.652,28.449,1896.27,-658.353,33.3587,1563.62,1126.75,26.2827,1124.57,-51.0572,23.3581,1235.32,-721.181,21.4006,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,1611.17,-59.8875,22.867,459.133,386.649,24.0859,824.645,1020.44,32.1254,1621.67,429.556,28.6684,1138.98,443.533,26.152,2226.88,738.396,30.2857,2274.79,-57.0406,34.4779,546.155,-353.282,28.3577,1896.33,-658.493,33.5691,1563.66,1126.73,26.3704,1125.53,-50.6517,23.9064,1235.36,-721.132,21.4778,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,1611.18,-59.8713,22.8553,459.173,386.664,24.079,824.695,1020.43,32.0907,1621.67,429.556,28.6863,1138.99,443.546,26.1309,2226.91,738.373,30.3418,2274.69,-57.039,34.3449,546.133,-353.288,28.3686,1896.35,-658.55,33.7215,1563.64,1126.75,26.351,1125.48,-50.6315,23.8639,1235.4,-721.096,21.2598,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,1611.15,-59.8854,22.8531,459.075,386.701,24.0361,824.65,1020.45,32.1008,1621.67,429.553,28.6613,1139,443.571,26.1439,2226.92,738.328,30.3804,2274.72,-57.0479,34.3945,546.178,-353.321,28.2963,1896.31,-658.347,33.2997,1563.64,1126.75,26.3067,1125.47,-50.5996,23.8625,1235.28,-720.752,21.4652,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,1611.17,-59.8911,22.8536,459.152,386.644,24.0809,824.667,1020.43,32.0913,1621.68,429.545,28.6907,1138.98,443.567,26.1277,2227.09,737.961,30.8383,2274.69,-57.1209,34.4578,546.375,-353.693,28.4055,1896.23,-658.318,33.3519,1563.61,1126.74,26.2811,1125.55,-50.6575,23.9229,1235.48,-721.074,21.4896,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,1611.18,-59.8844,22.8762,459.054,386.665,23.9875,824.711,1020.36,32.1114,1621.66,429.532,28.6908,1138.99,443.528,26.1943,2226.88,738.419,30.2587,2274.73,-57.0399,34.4063,546.057,-353.329,28.2872,1896.23,-658.34,33.3445,1563.62,1126.77,26.3208,1125.61,-50.5597,23.9893,1235.39,-721.009,21.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,1611.16,-59.8859,22.8533,459.095,386.701,24.0596,824.656,1020.45,32.0981,1621.68,429.555,28.675,1138.99,443.563,26.1453,2226.91,738.442,30.3026,2274.68,-57.0682,34.3443,546.06,-353.31,28.3129,1896.27,-658.382,33.3703,1563.65,1126.72,26.3256,1124.61,-51.0606,23.3465,1235.37,-721.103,21.4778,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,1611.2,-59.8051,23.173,459.077,386.654,24.0459,824.716,1020.4,32.1052,1621.66,429.555,28.6568,1139.02,443.525,26.1688,2226.88,738.452,30.2467,2274.68,-57.0947,34.3593,546.379,-353.642,28.3405,1896.26,-658.322,33.2547,1563.63,1126.72,26.3184,1125.53,-50.6206,23.8518,1235.32,-720.641,21.3171,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,1611.16,-59.8684,22.8543,459.103,386.645,24.0433,824.667,1020.48,32.0804,1621.66,429.559,28.6702,1139,443.553,26.1438,2226.9,738.394,30.313,2274.66,-57.0829,34.3326,545.936,-353.235,28.2735,1896.27,-658.343,33.3605,1563.64,1126.74,26.3296,1124.55,-51.0262,23.3582,1235.42,-721.062,21.4708,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,1611.16,-59.8897,22.8738,459.138,386.644,24.0246,824.695,1020.42,32.1327,1621.65,429.542,28.6719,1138.99,443.541,26.1465,2227.07,737.99,30.7917,2274.67,-57.0668,34.3279,546.315,-353.696,28.4079,1896.21,-658.332,33.2968,1563.64,1126.74,26.3244,1124.57,-51.0439,23.4025,1235.32,-721.071,21.4436,,,,,,,,,,,,,,,,,,,,,,,,,,,
