Objects
100
,,Global Angle quackgpt:quackgpt,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
245,0,-0.00522931,-0.00380825,0.0494744,1305.36,-408.247,143.581
246,0,-0.00722865,-0.00300312,0.0499109,1305.38,-408.256,143.608
247,0,-0.00693498,-0.00389608,0.0498079,1305.39,-408.18,143.621
248,0,-0.00630999,-0.00384322,0.0497459,1305.38,-408.199,143.603
249,0,-0.00684711,-0.00390233,0.049807,1305.38,-408.201,143.589
250,0,-0.00580046,-0.00384818,0.0494055,1305.36,-408.254,143.584
251,0,-0.00613683,-0.00360385,0.0497637,1305.38,-408.206,143.61
252,0,-0.00688113,-0.00383051,0.0497035,1305.38,-408.201,143.618
253,0,-0.00822143,-0.00292047,0.0501923,1305.39,-408.208,143.644
254,0,-0.00799517,-0.00318456,0.0502456,1305.39,-408.201,143.617
255,0,-0.00814484,-0.00293545,0.0503376,1305.4,-408.196,143.645
256,0,-0.00683888,-0.00382673,0.0498028,1305.38,-408.182,143.626
257,0,-0.00660178,-0.00303732,0.0496802,1305.37,-408.26,143.615
258,0,-0.0056772,-0.00359993,0.049483,1305.36,-408.257,143.581
259,0,-0.00681949,-0.00359807,0.0499284,1305.39,-408.188,143.621
260,0,-0.00728679,-0.00392214,0.0498465,1305.38,-408.19,143.615
261,0,-0.00624756,-0.00378818,0.0498165,1305.37,-408.18,143.596
262,0,-0.00809661,-0.00276318,0.0503966,1305.39,-408.19,143.628
263,0,-0.00644597,-0.00379535,0.0497757,1305.38,-408.199,143.593
264,0,-0.00601127,-0.00376378,0.0496799,1305.38,-408.206,143.6
265,0,-0.0070988,-0.00366967,0.0500898,1305.38,-408.186,143.613
266,0,-0.00674268,-0.00378416,0.0498146,1305.37,-408.183,143.589
267,0,-0.00755555,-0.00285986,0.0501002,1305.4,-408.2,143.643
268,0,-0.00615842,-0.00384159,0.0496939,1305.38,-408.187,143.602
269,0,-0.00725881,-0.00392681,0.0498513,1305.4,-408.191,143.624
