Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
51,0,1347.79,-54.1007,25.7453,437.517,1087.18,17.8972,1069.13,1099.64,21.2823,2284.37,228.736,28.8855,1617.87,392.615,26.9645,781.365,447.104,23.069,516.94,-8.01373,18.3855,1132.2,-738.389,14.6845,1565.06,1103.64,24.4918,1772.45,-749.168,27.1999,501.402,-753.577,15.6961,-155.466,8.5903,19.4674
52,0,1347.79,-54.0752,25.6232,437.758,1087.02,18.0891,1069.08,1099.69,21.2724,2284.37,228.727,28.8814,1617.86,392.623,26.962,781.36,447.114,23.0647,516.819,-8.00228,18.4243,1132.21,-738.383,14.7061,1565.04,1103.61,24.4327,1772.48,-749.163,27.1993,502.705,-753.65,16.3339,-155.422,8.60984,19.5212
53,0,1347.73,-54.0947,25.6478,437.711,1087.08,18.1046,1069.12,1099.67,21.2691,2284.35,228.725,28.8585,1617.87,392.632,26.9573,781.296,447.13,23.069,516.946,-8.02357,18.3857,1132.18,-738.335,14.6245,1565.03,1103.63,24.4887,1772.49,-749.187,27.243,502.609,-753.718,16.2903,-155.331,8.64631,19.4873
54,0,1347.76,-54.0226,25.5676,437.975,1086.76,18.2637,1069.12,1099.66,21.256,2284.35,228.713,28.8674,1617.86,392.629,26.9564,781.338,447.152,23.0251,516.991,-8.02928,18.5145,1132.2,-738.391,14.7387,1565.05,1103.64,24.4856,1772.48,-749.135,27.2136,501.313,-753.608,15.6066,-155.405,8.57693,19.45
55,0,1347.69,-54.0963,25.6091,437.047,1087.43,17.7034,1069.11,1099.67,21.258,2284.32,228.699,28.862,1617.85,392.636,26.9568,781.356,447.121,23.032,516.959,-8.00001,18.3637,1132.19,-738.425,14.686,1565.04,1103.62,24.4629,1772.39,-749.177,27.1589,502.622,-753.649,16.2515,-155.39,8.58622,19.6283
56,0,1347.8,-54.1097,25.6694,437.486,1087.29,17.9661,1069.12,1099.67,21.2198,2284.34,228.727,28.84,1617.86,392.624,26.9574,781.463,447.046,23.0393,516.847,-7.98887,18.3785,1132.21,-738.395,14.7119,1565.02,1103.63,24.4696,1772.47,-749.19,27.2255,502.881,-753.85,16.5065,-155.385,8.58871,19.5551
57,0,1347.8,-54.1044,25.699,437.572,1087.19,17.9755,1069.14,1099.65,21.2602,2284.37,228.721,28.9038,1617.87,392.641,26.9627,781.402,447.132,23.0377,516.877,-8.04521,18.3469,1132.23,-738.354,14.7574,1565.03,1103.61,24.4667,1772.46,-749.17,27.2178,502.534,-753.719,16.2183,-155.398,8.59792,19.5589
58,0,1347.73,-54.0438,25.5701,437.587,1087.13,17.9673,1069.14,1099.65,21.2658,2284.29,228.692,28.824,1617.86,392.637,26.9563,781.549,447.047,23.0478,516.893,-8.01591,18.3433,1132.14,-738.415,14.6763,1565.04,1103.6,24.457,1772.66,-748.954,27.1059,502.45,-753.708,16.1718,-155.412,8.60665,19.4616
59,0,1347.79,-54.07,25.6591,437.611,1087.16,18.0095,1069.1,1099.64,21.2498,2284.34,228.713,28.8673,1617.89,392.628,26.9612,781.298,447.158,23.0464,516.87,-7.99782,18.3601,1132.18,-738.344,14.6662,1565.05,1103.64,24.4747,1772.58,-749.066,27.1531,502.487,-753.737,16.2042,-155.444,8.60017,19.588
60,0,1347.74,-54.099,25.6557,437.578,1087.16,17.971,1069.07,1099.7,21.2503,2284.37,228.722,28.8556,1617.87,392.63,26.9585,781.347,447.081,23.0405,517.049,-8.12467,18.4441,1132.23,-738.382,14.6994,1565.07,1103.65,24.4736,1772.61,-749.046,27.1885,502.73,-753.655,16.3792,-155.418,8.60491,19.4963
